"",".","."
"1","國立臺灣大學 電機工程學系","86.08"
"2","國立臺灣大學 材料科學與工程學系","85.52"
"3","國立臺灣大學 物理學系","84.64"
"4","國立臺灣師範大學 數學系(公費生)-嘉義市","84.04"
"5","國立臺灣大學 資訊工程學系","83.96"
"6","國立臺灣大學 工商管理學系科技管理組","83.71"
"7","國立臺灣師範大學 數學系(公費生)-桃園縣","83.52"
"8","國立臺灣大學 化學工程學系","83.10"
"9","國立臺灣大學 機械工程學系","82.76"
"10","國立清華大學 電機工程學系甲組","82.56"
"11","國立交通大學 電機資訊學士班","82.54"
"12","國立清華大學 電機工程學系乙組","82.48"
"13","國立臺灣大學 化學系","82.38"
"14","國立臺灣大學 資訊管理學系","82.26"
"15","國立臺灣大學 工程科學及海洋工程學系","82.06"
"16","國立交通大學 電機工程學系甲組","82.04"
"17","國立彰化師範大學 物理學系物理組(公費生)","82.02"
"18","國立交通大學 電子工程學系甲組","81.98"
"19","國立清華大學 電機資訊學院學士班","81.94"
"20","國立高雄師範大學 化學系(公費生)","81.68"
"21","國立臺灣大學 數學系","81.41"
"22","國立臺灣大學 土木工程學系","81.40"
"23","國立交通大學 電子工程學系乙組","81.22"
"24","國立清華大學 動力機械工程學系甲組","81.10"
"25","國立清華大學 資訊工程學系甲組(電子資訊組)","81.00"
"26","國立新竹教育大學 應用科學系奈米科學組(公費生)","80.87"
"27","國立清華大學 物理學系光電物理組","80.86"
"28","國立中興大學 生物產業機電工程學系(公費生)","80.78"
"29","國立交通大學 電機工程學系乙組","80.74"
"30","國立清華大學 材料科學工程學系","80.68"
"31","國立臺灣大學 生物產業機電工程學系","80.56"
"32","國立清華大學 工學院學士班","80.02"
"33","國立臺灣大學 生物環境系統工程學系","79.56"
"34","國立臺灣大學 大氣科學系","79.52"
"35","國立成功大學 電機工程學系","79.32"
"36","國立交通大學 資訊工程學系資電工程組","79.24"
"37","國立交通大學 光電工程學系","79.12"
"38","國立清華大學 化學工程學系","79.02"
"39","國立成功大學 物理學系光電科學組","78.85"
"40","國立臺灣大學 地質科學系","78.66"
"41","國立成功大學 建築學系","78.54"
"42","國立臺灣大學 地理環境資源學系A組","78.20"
"43","國立清華大學 動力機械工程學系乙組","78.20"
"44","國立清華大學 物理學系物理組","78.18"
"45","國立陽明大學 生物醫學工程學系","78.02"
"46","國立交通大學 資訊工程學系資訊工程組","77.94"
"47","國立清華大學 理學院學士班","77.82"
"48","國立交通大學 奈米科學及工程學士學位學程","77.82"
"49","國立成功大學 成功大學學士學位學程","77.66"
"50","國立交通大學 材料科學與工程學系","77.66"
"51","國立交通大學 電子物理學系光電與奈米科學組","77.66"
"52","國立交通大學 理學院科學學士學位學程甲組","77.56"
"53","國立交通大學 電子物理學系電子物理組","77.48"
"54","國立交通大學 資訊工程學系網路與多媒體工程組","77.10"
"55","國立清華大學 科技管理學院學士班","77.09"
"56","國立清華大學 原子科學院學士班","76.82"
"57","國立清華大學 工程與系統科學系甲組","76.76"
"58","國立清華大學 化學系","76.66"
"59","國立清華大學 資訊工程學系乙組(資訊工程組)","76.60"
"60","國立清華大學 工程與系統科學系乙組","76.50"
"61","國立清華大學 數學系數學組","76.28"
"62","國立成功大學 光電科學與工程學系","76.26"
"63","國立成功大學 物理學系物理組","76.21"
"64","國立清華大學 數學系應用數學組","75.77"
"65","國立成功大學 材料科學及工程學系","75.74"
"66","國立交通大學 機械工程學系","75.72"
"67","國立清華大學 生醫工程與環境科學系","75.50"
"68","國立政治大學 統計學系自然組","75.48"
"69","國立交通大學 應用化學系","75.38"
"70","國立成功大學 資訊工程學系","75.20"
"71","國立清華大學 工業工程與工程管理學系","75.18"
"72","國立交通大學 工業工程與管理學系","74.69"
"73","國立成功大學 生物醫學工程學系","74.68"
"74","國立成功大學 化學工程學系","74.66"
"75","國立交通大學 應用數學系","74.59"
"76","國立中央大學 電機工程學系","74.34"
"77","國立成功大學 機械工程學系","74.26"
"78","國立成功大學 工業設計學系","74.24"
"79","國立成功大學 化學系","74.00"
"80","國立交通大學 土木工程學系","73.86"
"81","國立成功大學 工程科學系","73.60"
"82","國立成功大學 航空太空工程學系","73.50"
"83","國立中央大學 機械工程學系光機電工程組","73.02"
"84","國立成功大學 環境工程學系","72.78"
"85","國立成功大學 工業與資訊管理學系","72.58"
"86","國立中央大學 光電科學與工程學系","72.40"
"87","國立中央大學 理學院學士班","72.30"
"88","國立成功大學 都市計劃學系","72.25"
"89","國立中央大學 化學工程與材料工程學系","72.24"
"90","國立中央大學 機械工程學系先進材料與精密製造組","72.22"
"91","國立成功大學 系統及船舶機電工程學系","72.16"
"92","國立成功大學 資源工程學系","71.89"
"93","國立成功大學 土木工程學系","71.86"
"94","國立中央大學 物理學系","71.70"
"95","國立政治大學 應用數學系","71.64"
"96","國立中央大學 機械工程學系設計與分析組","71.59"
"97","國立成功大學 交通管理科學系","71.48"
"98","國立成功大學 水利及海洋工程學系","71.38"
"99","國立中央大學 資訊工程學系","71.38"
"100","國立中央大學 通訊工程學系","71.36"
