"",".","."
"1","國立臺灣大學 電機工程學系","82.76"
"2","國立交通大學 電機資訊學士班","82.25"
"3","國立臺灣大學 資訊工程學系","81.86"
"4","國立交通大學 電機工程學系甲組","81.20"
"5","國立臺灣大學 物理學系","81.14"
"6","國立臺灣大學 材料科學與工程學系","81.12"
"7","國立清華大學 電機工程學系乙組","81.00"
"8","國立清華大學 電機工程學系甲組","80.96"
"9","國立交通大學 電子工程學系甲組","80.60"
"10","國立交通大學 電子工程學系乙組","80.17"
"11","國立臺灣大學 機械工程學系","79.62"
"12","國立清華大學 資訊工程學系甲組(電子資訊組)","79.60"
"13","國立臺灣大學 化學工程學系","79.56"
"14","國立臺灣大學 資訊管理學系","79.56"
"15","國立清華大學 電機資訊學院學士班","79.41"
"16","國立清華大學 材料科學工程學系甲組","79.34"
"17","國立臺灣大學 化學系","78.74"
"18","國立交通大學 資訊工程學系資電工程組","78.70"
"19","國立臺灣大學 工程科學及海洋工程學系","78.58"
"20","國立臺灣大學 數學系","77.96"
"21","國立交通大學 資訊工程學系資訊工程組","77.84"
"22","國立清華大學 動力機械工程學系甲組","77.80"
"23","國立清華大學 資訊工程學系乙組(資訊工程組)","77.32"
"24","國立臺灣大學 土木工程學系","77.30"
"25","國立臺灣大學 生物產業機電工程學系","77.18"
"26","國立成功大學 電機工程學系","77.10"
"27","國立交通大學 資訊工程學系網路與多媒體工程組","76.96"
"28","國立臺灣大學 工商管理學系科技管理組","76.94"
"29","國立清華大學 工學院學士班","76.86"
"30","國立交通大學 光電工程學系","76.84"
"31","國立清華大學 動力機械工程學系乙組","76.76"
"32","國立成功大學 大一全校不分系學士學位學程","76.40"
"33","國立清華大學 材料科學工程學系乙組","76.20"
"34","國立清華大學 物理學系物理組(天文物理組)","76.04"
"35","國立臺灣大學 生物環境系統工程學系","75.86"
"36","國立交通大學 電子物理學系光電與奈米科學組","75.76"
"37","國立臺灣大學 大氣科學系","75.64"
"38","國立清華大學 理學院學士班","75.58"
"39","國立清華大學 化學工程學系","75.58"
"40","國立清華大學 數學系應用數學組","75.48"
"41","國立交通大學 材料科學與工程學系","75.40"
"42","國立成功大學 資訊工程學系","75.36"
"43","國立清華大學 物理學系物理組(一般組)","75.06"
"44","國立成功大學 建築學系","75.03"
"45","國立交通大學 電子物理學系電子物理組","74.94"
"46","國立交通大學 奈米科學及工程學士學位學程","74.86"
"47","國立清華大學 物理學系光電物理組","74.76"
"48","國立清華大學 工程與系統科學系甲組","74.58"
"49","國立臺灣大學 地質科學系","74.54"
"50","國立清華大學 工程與系統科學系乙組","74.40"
"51","國立臺灣大學 地理環境資源學系A組","74.26"
"52","國立交通大學 理學院科學學士學位學程甲組","74.24"
"53","國立成功大學 材料科學及工程學系","74.08"
"54","國立清華大學 原子科學院學士班","73.98"
"55","國立清華大學 化學系","73.96"
"56","國立清華大學 數學系數學組","73.83"
"57","國立交通大學 機械工程學系","73.48"
"58","國立清華大學 工業工程與工程管理學系","73.43"
"59","國立清華大學 科技管理學院學士班","73.34"
"60","國立陽明大學 生物醫學工程學系","73.28"
"61","國立清華大學 生醫工程與環境科學系","73.24"
"62","國立中山大學 電機工程學系甲組","73.18"
"63","國立成功大學 光電科學與工程學系","72.90"
"64","國立交通大學 應用化學系","72.58"
"65","國立中央大學 電機工程學系","72.24"
"66","國立成功大學 化學工程學系","72.14"
"67","國立交通大學 應用數學系","71.95"
"68","國立成功大學 物理學系","71.54"
"69","國立成功大學 生物醫學工程學系","71.42"
"70","國立成功大學 化學系","71.39"
"71","國立成功大學 工業設計學系","71.34"
"72","國立成功大學 機械工程學系","71.26"
"73","國立成功大學 工程科學系","71.24"
"74","國立交通大學 工業工程與管理學系","71.19"
"75","國立成功大學 航空太空工程學系","71.10"
"76","國立交通大學 土木工程學系","70.38"
"77","國立中央大學 化學工程與材料工程學系","70.32"
"78","國立政治大學 統計學系自然組","70.31"
"79","國立成功大學 工業與資訊管理學系","70.26"
"80","國立中正大學 電機工程學系甲組","69.98"
"81","國立中央大學 光電科學與工程學系","69.79"
"82","國立中央大學 機械工程學系光機電工程組","69.73"
"83","國立成功大學 系統及船舶機電工程學系","69.56"
"84","國立中央大學 化學學系","69.51"
"85","國立政治大學 資訊科學系","69.38"
"86","國立成功大學 土木工程學系","69.36"
"87","國立成功大學 環境工程學系","69.14"
"88","國立臺灣師範大學 資訊工程學系","69.04"
"89","國立中央大學 理學院學士班","68.80"
"90","國立中央大學 機械工程學系先進材料與精密製造組","68.61"
"91","國立中央大學 物理學系","68.58"
"92","國立成功大學 資源工程學系","68.40"
"93","國立臺灣師範大學 電機工程學系","68.19"
"94","國立中央大學 機械工程學系設計與分析組","68.13"
"95","國立成功大學 交通管理科學系","67.88"
"96","國立成功大學 水利及海洋工程學系","67.77"
"97","國立臺灣師範大學 物理學系","67.59"
"98","國立臺灣師範大學 化學系","67.50"
"99","國立中央大學 大氣科學學系太空組","67.34"
"100","國立成功大學 測量及空間資訊學系","67.32"
