"",".","."
"1","國立臺灣大學 電機工程學系","84.02"
"2","國立彰化師範大學 化學系(公費生)","83.35"
"3","國立臺灣大學 材料科學與工程學系","83.08"
"4","國立臺灣師範大學 數學系(公費生)","82.93"
"5","國立臺灣大學 物理學系","82.52"
"6","國立臺灣大學 資訊工程學系","82.44"
"7","國立交通大學 電機工程學系甲組","82.26"
"8","國立清華大學 電機工程學系甲組","82.08"
"9","國立臺灣大學 機械工程學系","81.26"
"10","國立臺灣大學 化學工程學系","81.16"
"11","國立交通大學 電子工程學系甲組","81.06"
"12","臺北市立大學 地球環境暨生物資源學系(公費生)","80.98"
"13","國立臺灣大學 化學系","80.82"
"14","國立清華大學 電機工程學系乙組","80.75"
"15","國立臺灣大學 資訊管理學系","80.50"
"16","國立臺灣大學 工程科學及海洋工程學系","80.40"
"17","國立臺灣大學 工商管理學系科技管理組","79.84"
"18","國立交通大學 電機資訊學士班","79.64"
"19","國立交通大學 電子工程學系乙組","79.64"
"20","國立交通大學 電機工程學系乙組","79.52"
"21","國立清華大學 動力機械工程學系甲組","79.50"
"22","國立臺灣大學 土木工程學系","79.42"
"23","國立清華大學 材料科學工程學系","79.30"
"24","國立清華大學 電機資訊學院學士班","79.18"
"25","國立清華大學 資訊工程學系甲組(電子資訊組)","79.00"
"26","國立臺灣大學 生物產業機電工程學系","78.90"
"27","國立清華大學 工學院學士班","78.80"
"28","國立臺灣大學 數學系","78.64"
"29","國立清華大學 物理學系光電物理組","78.46"
"30","國立交通大學 資訊工程學系資電工程組","78.24"
"31","國立臺灣大學 生物環境系統工程學系","78.10"
"32","國立清華大學 化學工程學系","77.94"
"33","國立臺灣大學 大氣科學系","77.92"
"34","國立清華大學 動力機械工程學系乙組","77.50"
"35","國立成功大學 電機工程學系","77.28"
"36","國立交通大學 光電工程學系","77.15"
"37","國立臺灣大學 地質科學系","77.04"
"38","國立成功大學 成功大學學士學位學程","76.88"
"39","國立交通大學 資訊工程學系資訊工程組","76.86"
"40","國立交通大學 電子物理學系光電與奈米科學組","76.78"
"41","國立臺灣大學 地理環境資源學系A組","76.62"
"42","國立清華大學 物理學系物理組","76.32"
"43","國立交通大學 資訊工程學系網路與多媒體工程組","76.28"
"44","國立成功大學 建築學系","76.25"
"45","國立清華大學 理學院學士班","76.12"
"46","國立交通大學 材料科學與工程學系","76.00"
"47","國立交通大學 奈米科學及工程學士學位學程","75.94"
"48","國立清華大學 資訊工程學系乙組(資訊工程組)","75.68"
"49","國立交通大學 電子物理學系電子物理組","75.68"
"50","國立交通大學 理學院科學學士學位學程甲組","75.60"
"51","國立成功大學 物理學系光電科學組","75.56"
"52","國立清華大學 化學系","75.46"
"53","國立清華大學 工程與系統科學系甲組","75.34"
"54","國立陽明大學 生物醫學工程學系","75.06"
"55","國立成功大學 材料科學及工程學系","74.96"
"56","國立清華大學 科技管理學院學士班","74.86"
"57","國立清華大學 原子科學院學士班","74.78"
"58","國立成功大學 光電科學與工程學系","74.50"
"59","國立交通大學 機械工程學系","74.40"
"60","國立成功大學 資訊工程學系","74.26"
"61","國立清華大學 工程與系統科學系乙組","74.12"
"62","國立清華大學 工業工程與工程管理學系","74.01"
"63","國立交通大學 應用化學系","73.94"
"64","國立清華大學 生醫工程與環境科學系","73.90"
"65","國立清華大學 數學系應用數學組","73.87"
"66","國立成功大學 物理學系物理組","73.82"
"67","國立清華大學 數學系數學組","73.61"
"68","國立成功大學 化學工程學系","73.58"
"69","國立成功大學 化學系","73.35"
"70","國立成功大學 生物醫學工程學系","73.26"
"71","國立成功大學 工業設計學系","72.88"
"72","國立交通大學 工業工程與管理學系","72.68"
"73","國立中央大學 電機工程學系","72.56"
"74","國立政治大學 統計學系自然組","72.39"
"75","國立成功大學 工程科學系","72.28"
"76","國立成功大學 機械工程學系","72.26"
"77","國立交通大學 土木工程學系","72.20"
"78","國立交通大學 應用數學系","72.04"
"79","國立中山大學 電機工程學系甲組","72.02"
"80","國立成功大學 航空太空工程學系","71.96"
"81","國立成功大學 土木工程學系","70.92"
"82","國立成功大學 環境工程學系","70.90"
"83","國立中央大學 機械工程學系光機電工程組","70.90"
"84","國立成功大學 系統及船舶機電工程學系","70.84"
"85","國立成功大學 工業與資訊管理學系","70.76"
"86","國立中央大學 光電科學與工程學系","70.70"
"87","國立中央大學 化學工程與材料工程學系","70.60"
"88","國立成功大學 資源工程學系","70.32"
"89","國立中央大學 資訊工程學系","70.30"
"90","國立成功大學 水利及海洋工程學系","70.08"
"91","國立成功大學 交通管理科學系","70.08"
"92","國立中央大學 化學學系","69.98"
"93","國立成功大學 都市計劃學系","69.87"
"94","國立成功大學 測量及空間資訊學系","69.84"
"95","國立中央大學 理學院學士班","69.84"
"96","國立中山大學 化學系","69.80"
"97","國立中央大學 通訊工程學系","69.60"
"98","國立政治大學 應用數學系","69.56"
"99","國立中央大學 機械工程學系先進材料與精密製造組","69.55"
"100","國立臺灣師範大學 化學系","69.42"
