"",".","."
"1","國立臺灣大學 電機工程學系","83.28"
"2","國立臺灣師範大學 物理學系(公費)-臺南市","82.68"
"3","國立臺灣大學 材料科學與工程學系","81.84"
"4","國立臺灣大學 資訊工程學系","81.04"
"5","國立交通大學 電機工程學系甲組","80.52"
"6","國立交通大學 電子工程學系甲組","80.42"
"7","國立臺灣師範大學 數學系(公費)-臺南市","80.40"
"8","國立清華大學 電機工程學系甲組","79.98"
"9","國立臺灣大學 物理學系","79.90"
"10","國立臺灣大學 機械工程學系","79.88"
"11","國立臺灣師範大學 物理學系(公費)-苗栗縣","79.60"
"12","國立臺灣大學 化學工程學系","79.58"
"13","國立臺灣大學 資訊管理學系","79.14"
"14","國立交通大學 電子工程學系乙組","78.38"
"15","國立臺灣大學 化學系","78.28"
"16","國立臺灣大學 工程科學及海洋工程學系","78.18"
"17","國立清華大學 電機工程學系乙組","78.18"
"18","國立臺灣大學 數學系","77.84"
"19","國立臺灣大學 土木工程學系","77.78"
"20","國立清華大學 動力機械工程學系甲組","77.58"
"21","國立清華大學 資訊工程學系甲組(電子資訊組)","77.56"
"22","國立清華大學 電機資訊學院學士班","77.12"
"23","國立清華大學 材料科學工程學系","77.10"
"24","國立成功大學 電機工程學系","77.00"
"25","國立交通大學 資訊工程學系資電工程組","76.72"
"26","國立臺灣大學 生物產業機電工程學系","76.68"
"27","國立臺灣大學 工商管理學系科技管理組","76.53"
"28","國立清華大學 工學院學士班","76.46"
"29","國立成功大學 大一全校不分系學士學位學程","76.42"
"30","國立清華大學 動力機械工程學系乙組","76.34"
"31","國立清華大學 物理學系光電物理組","75.86"
"32","國立臺灣大學 生物環境系統工程學系","75.64"
"33","國立清華大學 化學工程學系","75.60"
"34","國立臺灣大學 大氣科學系","75.54"
"35","國立交通大學 電子物理學系光電與奈米科學組","75.24"
"36","國立交通大學 資訊工程學系資訊工程組","75.16"
"37","國立成功大學 建築學系","75.13"
"38","國立清華大學 物理學系物理組","75.08"
"39","國立清華大學 理學院學士班","74.82"
"40","國立臺灣大學 地質科學系","74.64"
"41","國立交通大學 光電工程學系","74.63"
"42","國立交通大學 資訊工程學系網路與多媒體工程組","74.48"
"43","國立清華大學 資訊工程學系乙組(資訊工程組)","74.40"
"44","國立交通大學 材料科學與工程學系","74.28"
"45","國立交通大學 奈米科學及工程學士學位學程","74.22"
"46","國立交通大學 電子物理學系電子物理組","74.16"
"47","國立成功大學 物理學系光電科學組","74.12"
"48","國立臺灣大學 地理環境資源學系A組","74.08"
"49","國立交通大學 理學院科學學士學位學程甲組","73.84"
"50","國立清華大學 化學系","73.54"
"51","國立清華大學 工程與系統科學系甲組","73.36"
"52","國立交通大學 機械工程學系","73.12"
"53","國立成功大學 資訊工程學系","72.92"
"54","國立清華大學 工程與系統科學系乙組","72.88"
"55","國立清華大學 數學系數學組","72.80"
"56","國立陽明大學 生物醫學工程學系","72.56"
"57","國立中山大學 電機工程學系甲組","72.54"
"58","國立成功大學 材料科學及工程學系","72.52"
"59","國立清華大學 數學系應用數學組","72.42"
"60","國立清華大學 原子科學院學士班","72.22"
"61","國立清華大學 科技管理學院學士班","72.04"
"62","國立清華大學 生醫工程與環境科學系","72.00"
"63","國立成功大學 光電科學與工程學系","71.72"
"64","國立成功大學 物理學系物理組","71.65"
"65","國立交通大學 應用化學系","71.30"
"66","國立清華大學 工業工程與工程管理學系","71.24"
"67","國立中央大學 電機工程學系","71.00"
"68","國立成功大學 化學系","70.44"
"69","國立成功大學 生物醫學工程學系","70.40"
"70","國立成功大學 工業設計學系","70.37"
"71","國立成功大學 化學工程學系","70.36"
"72","國立成功大學 機械工程學系","70.16"
"73","國立政治大學 統計學系自然組","70.15"
"74","國立成功大學 工程科學系","70.04"
"75","國立交通大學 應用數學系","69.85"
"76","國立成功大學 航空太空工程學系","69.78"
"77","國立交通大學 土木工程學系","69.44"
"78","國立交通大學 工業工程與管理學系","69.06"
"79","國立成功大學 工業與資訊管理學系","68.72"
"80","國立中央大學 資訊工程學系","68.68"
"81","國立中央大學 機械工程學系光機電工程組","68.24"
"82","國立成功大學 土木工程學系","68.14"
"83","國立成功大學 系統及船舶機電工程學系","68.12"
"84","國立中央大學 化學工程與材料工程學系","68.04"
"85","國立中央大學 理學院學士班","67.96"
"86","國立成功大學 環境工程學系","67.94"
"87","國立中央大學 光電科學與工程學系","67.92"
"88","國立成功大學 資源工程學系","67.58"
"89","國立中央大學 通訊工程學系","67.22"
"90","國立中山大學 電機工程學系乙組","66.77"
"91","國立成功大學 都市計劃學系","66.73"
"92","國立中央大學 化學學系","66.68"
"93","國立中央大學 機械工程學系先進材料與精密製造組","66.68"
"94","國立中央大學 物理學系","66.63"
"95","國立成功大學 交通管理科學系","66.34"
"96","國立成功大學 水利及海洋工程學系","66.13"
"97","國立中央大學 機械工程學系設計與分析組","66.08"
"98","國立政治大學 應用數學系","66.02"
"99","國立成功大學 地球科學系","65.94"
"100","國立臺灣師範大學 化學系","65.81"
