"",".","."
"1","國立臺灣師範大學 物理學系(公費)","112.70"
"2","國立臺灣師範大學 化學系(公費)","88.25"
"3","國立臺灣大學 電機工程學系","87.74"
"4","國立臺灣大學 材料科學與工程學系","87.36"
"5","國立臺灣師範大學 數學系(公費)","86.67"
"6","國立臺灣大學 物理學系","86.62"
"7","國立臺灣大學 資訊工程學系","86.12"
"8","國立彰化師範大學 物理系物理組(公費)-彰化縣","85.85"
"9","國立臺灣大學 工商管理學系科技管理組","85.81"
"10","國立臺灣大學 化學工程學系","85.38"
"11","國立交通大學 電機資訊學士班","84.84"
"12","國立臺灣大學 機械工程學系","84.82"
"13","國立彰化師範大學 物理系物理組(公費)-雲林縣","84.63"
"14","國立臺灣大學 資訊管理學系","84.38"
"15","國立交通大學 電子工程學系甲組","84.28"
"16","國立交通大學 電機工程學系乙組","84.27"
"17","國立交通大學 電機工程學系甲組","84.26"
"18","國立臺灣大學 工程科學及海洋工程學系","84.16"
"19","國立臺灣大學 化學系","84.12"
"20","國立臺灣大學 數學系","84.04"
"21","國立臺灣大學 生物產業機電工程學系","83.88"
"22","國立清華大學 電機資訊學院學士班","83.82"
"23","國立臺灣大學 土木工程學系","83.64"
"24","國立清華大學 電機工程學系","83.48"
"25","國立清華大學 資訊工程系甲組(電子資訊組)","82.90"
"26","國立清華大學 物理學系光電物理組","82.86"
"27","國立交通大學 電子工程學系乙組","82.74"
"28","國立清華大學 材料科學工程學系","82.70"
"29","國立交通大學 資訊工程學系資電工程組","82.50"
"30","國立臺灣大學 大氣科學系","82.36"
"31","國立清華大學 工學院學士班","82.30"
"32","國立臺灣大學 生物環境系統工程學系","82.28"
"33","國立交通大學 光電工程學系","82.26"
"34","國立成功大學 物理學系光電科學組","82.25"
"35","國立清華大學 動力機械工程學系甲組","81.82"
"36","國立臺灣大學 地質科學系","81.76"
"37","國立清華大學 化學工程學系","81.74"
"38","國立清華大學 理學院學士班","81.66"
"39","國立清華大學 物理學系物理組","81.60"
"40","國立交通大學 資訊工程學系資訊工程組","81.50"
"41","國立成功大學 電機工程學系","81.38"
"42","國立臺灣大學 地理環境資源學系A組","81.24"
"43","國立交通大學 奈米科學及工程學士學位學程","81.12"
"44","國立交通大學 電子物理學系光電奈米組","81.10"
"45","國立成功大學 成功大學學士學位學程","80.90"
"46","國立交通大學 理學院科學學士學位學程甲組","80.90"
"47","國立清華大學 原子科學院學士班","80.72"
"48","國立交通大學 材料科學與工程學系","80.70"
"49","國立成功大學 物理學系物理組","80.59"
"50","國立交通大學 資訊工程學系網路多媒體組","80.58"
"51","國立清華大學 資訊工程系乙組(資訊工程組)","80.54"
"52","國立交通大學 電子物理學系電子物理組","80.52"
"53","國立清華大學 化學系","80.40"
"54","國立清華大學 工程與系統科學系甲組","80.38"
"55","國立清華大學 動力機械工程學系乙組","80.38"
"56","國立陽明大學 生物醫學工程學系","80.13"
"57","國立清華大學 工程與系統科學系乙組","80.12"
"58","國立成功大學 建築學系","79.89"
"59","國立清華大學 數學系應用數學組","79.56"
"60","國立成功大學 光電科學與工程學系","79.50"
"61","國立清華大學 生醫工程與環境科學系","79.44"
"62","國立交通大學 機械工程學系","79.40"
"63","國立成功大學 材料科學及工程學系","79.38"
"64","國立交通大學 應用化學系","79.34"
"65","國立清華大學 工業工程與工程管理學系","79.30"
"66","國立交通大學 應用數學系","79.24"
"67","國立成功大學 機械工程學系","79.14"
"68","國立交通大學 工業工程與管理學系","79.13"
"69","國立成功大學 工業設計學系","78.74"
"70","國立成功大學 資訊工程學系","78.58"
"71","國立清華大學 數學系純粹數學組","78.56"
"72","國立成功大學 生物醫學工程學系","78.38"
"73","國立中央大學 機械工程學系光機電工程組","78.09"
"74","國立成功大學 化學工程學系","78.08"
"75","國立政治大學 統計學系自然組","78.04"
"76","國立政治大學 應用數學系","77.97"
"77","國立成功大學 工程科學系","77.92"
"78","國立中央大學 電機工程學系","77.90"
"79","國立交通大學 土木工程學系","77.70"
"80","國立成功大學 化學系","77.58"
"81","國立中央大學 機械工程學系材料精密製造組","77.49"
"82","國立中央大學 物理學系","77.43"
"83","國立成功大學 航空太空工程學系","77.26"
"84","國立中央大學 機械工程學系設計與分析組","77.13"
"85","國立中央大學 光電科學與工程學系","77.00"
"86","國立中央大學 理學院學士班","77.00"
"87","國立成功大學 工業與資訊管理學系","76.76"
"88","國立中央大學 大氣科學學系太空組","76.70"
"89","國立中央大學 化學工程與材料工程學系","76.68"
"90","國立成功大學 環境工程學系","76.62"
"91","國立成功大學 資源工程學系","76.52"
"92","國立中央大學 大氣科學學系大氣組","76.27"
"93","國立成功大學 土木工程學系","76.18"
"94","國立成功大學 系統及船舶機電工程學系","76.10"
"95","國立中央大學 資訊工程學系","75.94"
"96","國立中央大學 通訊工程學系","75.86"
"97","國立中央大學 化學學系","75.79"
"98","國立成功大學 交通管理科學系","75.60"
"99","國立臺灣師範大學 機電科技學系","75.50"
"100","國立成功大學 水利及海洋工程學系","75.50"
